order_number,date,warehouse,client_type,product_line,quantity,unit_price,total,payment,payment_fee
N12315,2021-12-19,West,Wholesale,Miscellaneous,9,236.81,2131.29,Credit card,1.22
N12316,2021-12-24,Central,Retail,Suspension & traction,4,420.82,1683.28,Transfer,3.24
N12317,2021-12-27,North,Wholesale,Braking system,15,101.22,1518.3,Credit card,3.04
N12318,2021-12-4,North,Retail,Braking system,15,283.58,4253.7,Cash,4.43
N12319,2021-12-17,Central,Retail,Frame & body,13,141.99,1845.87,Cash,3.8
N12320,2021-12-5,Central,Wholesale,Electrical system,20,380.36,7607.2,Transfer,2.0
N12321,2021-12-13,North,Retail,Miscellaneous,18,78.41,1411.38,Transfer,1.08
N12322,2021-12-4,North,Retail,Frame & body,14,378.27,5295.78,Cash,4.56
N12323,2021-12-1,West,Wholesale,Miscellaneous,20,241.08,4821.6,Cash,3.54
N12324,2021-12-16,North,Retail,Miscellaneous,14,464.77,6506.78,Cash,2.85
N12325,2021-12-19,North,Retail,Braking system,4,210.94,843.76,Cash,4.46
N12326,2021-12-21,Central,Retail,Frame & body,3,426.07,1278.21,Credit card,2.76
N12327,2021-12-22,North,Wholesale,Miscellaneous,15,100.54,1508.1,Cash,2.46
N12328,2021-12-22,North,Wholesale,Electrical system,17,236.25,4016.25,Transfer,3.03
N12329,2021-12-22,West,Retail,Suspension & traction,10,55.41,554.1,Transfer,1.76
N12330,2021-12-15,Central,Wholesale,Suspension & traction,2,482.37,964.74,Cash,1.95
N12331,2021-12-24,North,Retail,Suspension & traction,2,184.66,369.32,Cash,3.66
N12332,2021-12-2,West,Retail,Frame & body,14,328.99,4605.86,Transfer,3.28
N12333,2021-12-16,West,Retail,Electrical system,12,421.2,5054.4,Cash,2.93
N12334,2021-12-3,Central,Retail,Electrical system,6,74.84,449.04,Cash,2.7
N12335,2021-12-11,North,Wholesale,Suspension & traction,3,129.11,387.33,Transfer,3.86
N12336,2021-12-21,North,Wholesale,Frame & body,1,424.17,424.17,Cash,4.64
N12337,2021-12-24,North,Retail,Electrical system,14,61.87,866.18,Credit card,2.11
N12338,2021-12-21,North,Retail,Braking system,11,323.63,3559.93,Credit card,4.87
N12339,2021-12-10,Central,Wholesale,Braking system,4,89.38,357.52,Cash,4.51
N12340,2021-12-2,North,Wholesale,Suspension & traction,5,393.01,1965.05,Cash,2.9
N12341,2021-12-15,West,Wholesale,Suspension & traction,9,368.12,3313.08,Cash,1.24
N12342,2021-12-5,North,Wholesale,Electrical system,10,62.57,625.7,Credit card,1.37
N12343,2021-12-1,Central,Wholesale,Braking system,11,421.23,4633.53,Transfer,1.81
N12344,2021-12-22,North,Wholesale,Suspension & traction,10,351.62,3516.2,Credit card,3.82
N12345,2021-12-25,North,Wholesale,Miscellaneous,18,374.97,6749.46,Credit card,3.58
N12346,2021-12-4,West,Wholesale,Frame & body,9,287.13,2584.17,Transfer,3.6
N12347,2021-12-7,Central,Wholesale,Suspension & traction,18,413.03,7434.54,Cash,3.97
N12348,2021-12-7,Central,Wholesale,Frame & body,11,412.26,4534.86,Credit card,3.01
N12349,2021-12-23,Central,Wholesale,Electrical system,19,436.5,8293.5,Credit card,2.84
N12350,2021-12-25,North,Retail,Suspension & traction,6,301.05,1806.3,Cash,4.56
N12351,2021-12-26,North,Retail,Frame & body,16,89.17,1426.72,Transfer,3.64
N12352,2021-12-26,North,Wholesale,Frame & body,6,94.94,569.64,Transfer,1.92
N12353,2021-12-5,North,Wholesale,Electrical system,13,382.74,4975.62,Transfer,1.63
N12354,2021-12-15,West,Retail,Electrical system,11,265.69,2922.59,Cash,4.24
N12355,2021-12-24,Central,Wholesale,Braking system,2,230.27,460.54,Transfer,3.47
N12356,2021-12-1,North,Retail,Braking system,14,330.57,4627.98,Credit card,4.2
N12357,2021-12-26,North,Retail,Miscellaneous,14,296.42,4149.88,Cash,2.99
N12358,2021-12-6,Central,Wholesale,Suspension & traction,16,386.89,6190.24,Cash,4.59
N12359,2021-12-16,West,Retail,Miscellaneous,14,373.91,5234.74,Cash,2.17
N12360,2021-12-27,North,Wholesale,Frame & body,14,459.65,6435.1,Cash,4.67
N12361,2021-12-26,West,Wholesale,Electrical system,14,373.46,5228.44,Transfer,1.32
N12362,2021-12-11,Central,Wholesale,Braking system,8,263.72,2109.76,Transfer,4.06
N12363,2021-12-24,North,Wholesale,Suspension & traction,15,142.13,2131.95,Transfer,1.38
N12364,2021-12-10,Central,Wholesale,Miscellaneous,7,233.79,1636.53,Cash,3.85
N12365,2021-12-6,North,Retail,Braking system,11,18.85,207.35,Cash,4.48
N12366,2021-12-20,West,Retail,Electrical system,14,435.98,6103.72,Cash,4.43
N12367,2021-12-8,West,Retail,Braking system,13,256.14,3329.82,Cash,4.62
N12368,2021-12-25,West,Wholesale,Frame & body,8,453.27,3626.16,Cash,3.92
N12369,2021-12-5,West,Retail,Electrical system,2,42.47,84.94,Credit card,3.93
N12370,2021-12-4,Central,Retail,Frame & body,18,145.08,2611.44,Credit card,1.98
N12371,2021-12-18,North,Wholesale,Electrical system,13,428.34,5568.42,Transfer,2.99
N12372,2021-12-1,North,Wholesale,Frame & body,8,183.41,1467.28,Cash,2.29
N12373,2021-12-13,Central,Retail,Electrical system,6,12.7,76.2,Cash,2.93
N12374,2021-12-1,Central,Retail,Electrical system,6,101.81,610.86,Credit card,2.81
N12375,2021-12-4,West,Wholesale,Suspension & traction,18,402.94,7252.92,Transfer,4.81
N12376,2021-12-3,North,Wholesale,Frame & body,12,143.2,1718.4,Transfer,4.02
N12377,2021-12-11,North,Wholesale,Suspension & traction,8,37.92,303.36,Transfer,2.2
N12378,2021-12-14,North,Retail,Braking system,18,450.01,8100.18,Credit card,1.05
N12379,2021-12-14,Central,Retail,Suspension & traction,6,480.82,2884.92,Credit card,3.93
N12380,2021-12-25,Central,Retail,Miscellaneous,5,489.61,2448.05,Transfer,4.99
N12381,2021-12-2,North,Retail,Suspension & traction,20,101.97,2039.4,Transfer,4.9
N12382,2021-12-23,Central,Retail,Suspension & traction,16,130.09,2081.44,Credit card,2.43
N12383,2021-12-13,North,Wholesale,Suspension & traction,2,352.79,705.58,Transfer,2.06
N12384,2021-12-17,Central,Wholesale,Frame & body,10,378.43,3784.3,Cash,1.83
N12385,2021-12-16,West,Wholesale,Electrical system,19,238.85,4538.15,Transfer,1.15
N12386,2021-12-28,North,Wholesale,Electrical system,18,350.62,6311.16,Cash,3.37
N12387,2021-12-23,North,Retail,Electrical system,17,318.98,5422.66,Cash,4.7
N12388,2021-12-6,Central,Retail,Electrical system,1,36.98,36.98,Credit card,3.08
N12389,2021-12-25,North,Retail,Frame & body,19,225.64,4287.16,Credit card,1.01
N12390,2021-12-28,West,Wholesale,Miscellaneous,4,104.27,417.08,Credit card,1.41
N12391,2021-12-3,West,Wholesale,Frame & body,4,211.34,845.36,Transfer,2.45
N12392,2021-12-17,West,Wholesale,Electrical system,5,285.76,1428.8,Cash,2.15
N12393,2021-12-18,North,Wholesale,Frame & body,11,292.34,3215.74,Transfer,2.34
N12394,2021-12-1,North,Retail,Frame & body,2,167.02,334.04,Cash,1.89
N12395,2021-12-9,Central,Wholesale,Miscellaneous,7,29.84,208.88,Credit card,1.22
N12396,2021-12-5,North,Retail,Miscellaneous,18,294.17,5295.06,Cash,2.34
N12397,2021-12-16,Central,Wholesale,Miscellaneous,12,164.54,1974.48,Cash,1.91
N12398,2021-12-7,West,Retail,Electrical system,16,152.2,2435.2,Cash,4.81
N12399,2021-12-8,Central,Retail,Miscellaneous,18,311.37,5604.66,Cash,2.51
